Pitch Number,Brand,Idea,Industry
1,BluePine Industries,Frozen Momos,Food & Beverages
2,Booz scooters,Renting e-bike for mobility in private spaces,Transport
3,Heart up my Sleeves,Detachable Sleeves,Clothing
4,Tagz Food & Beveragess,Healthy Potato Chips,Food & Beverages 
5,Head and Heart,Brain Development Course,Others
6,Agro tourism,Tourism,Tourism
7,Qzense Labs,Food & Beverages Freshness Detector,Food & Beverages
8,Peeschute,Disposable Urine Bag,Health
9,NOCD,Energy Drink,Food & Beverages
10,Cosiq,Intelligent Skincare,Health
11,JhaJi Achaar,Pickle,Food & Beverages
12,Bummer,Underwear,Clothing
13,Revamp Moto,E-Bike,Transport
14,Hungry Heads,Restaurant serving 80 types of Maggi,Food & Beverages
15,Shrawani Engineers,Belly Button Shaper,Health
16,Skippi Pops,Ice-Pops,Food & Beverages
17,Menstrupedia,Menstrual Awareness Comic,Health
18,Hecolll,Pollution Resistant Fabric,Health
19,Raising Superstars,Child Development App,Technology
20,Torch-it,Gadgets for visually impaired people,Technology
21,La Kheer Deli,Kheer in variety of flavors,Food & Beverages
22,Beyond Snack,Kerala Banana Chips,Food & Beverages
23,Vivalyf Innovations- Easy Life,Prickless Diabetes Testing Machine,Health
24,Motion Breeze,Smart Electric Motorcycle,Transport
25,Altor,Smart Helmets,Accessories
26,Ariro,Wooden Toys,Accessories
27,Kabira Handmade,Healthy Oils,Health
28,Nuutjob,Male Intimate Hygiene,Health
29,Meatyour,Eggs,Food & Beverages
30,EventBeep,Student Community App,Technology
31,Gopal's 56,Fiber Ice Cream,Food & Beverages
32,ARRCOAT Surface Textures,Wall Building,Others
33,Farda,Customised Streetwear,Clothing
34,Auli Lifestyle,Ayurvedic Products,Health
35,SweeDesi,Indian Sweets,Food & Beverages
36,LOKA,Metaverse App,Technology
37,Annie,Braille Literary Device,Technology
38,Caragreen,Eco-Friendly boxes,Accessories
39,The Yarn Bazaar,Yarn-Trading App,Technology
40,The Renal Project,Home Dialysis Treatment,Health
41,Morikko Pure Food & Beveragess,Healthy Food & Beverages Snacks,Food & Beverages
42,Good Good Piggy Bank,Digital Piggy Bank,Technology
43,Hammer Lifestyle,Smart Audio Products,Technology
44,PNT,Robotics and Automation Solutions,Technology
45,Cocofit,Coconut based beverage franchise,Food & Beverages
46,Bamboo India,Bamboo Products,Accessories
47,Flying Furr,Dog Hygiene,Health
48,Beyond Water,Liquid Water Enhancer,Accessories
49,Let's Try,Healthy Snacks,Health
50,Find Your Kicks India,Sneaker Resale,Clothing
51,Aas Vidyalaya,EdTech App,Technology
52,Outbox,Premium Surprise-Planning,Others
53,RoadBounce,Pothole Detection Software and Data,Technology
54,Mommy's Kitchen,Thin Crust Pizza,Food & Beverages
55,India Hemp and Co,Hemp Food & Beverages Products,Food & Beverages
56,Otua,Electric Auto Vehicle,Technology
57,Anthyesti,Funeral Service,Others
58,Ethik,Leather-free Shoes,Clothing
59,WeSTOCK,Livestock health monitoring AI,Technology
60,KetoIndia,Customised Keto Diets for various medical issues,Health
61,Magic lock,LPG Cylinder lock,Safety
62,The State Plate,Delicacies,Food & Beverages
63,Bakarmax,Comics & Animation,Entertainment
64,IN A CAN,Can Cocktails,Food & Beverages
65,Get a Whey,Sugar-Free Icecream,Food & Beverages
66,Sid07 Designs,Inventions,Technology
67,The Quirky Nari,Customised Apparels,Cosmetics
68,Hair Originals,Natural Hair Extensions,Cosmetics
69,Poo de Cologne,Toilet Spray with Essential Oils,Sanitary
70,Moonshine Meads,Meads,Others
71,Falhari,Fresh Fruits,Food & Beverages
72,Namhya Food & Beveragess,Ayurvedic Enriched Food & Beverages,Food & Beverages
73,Urban Monkey,Streetwear,Clothing
74,Guardian Gears,Motorcycle Luggage,Accessories
75,Modern Myth,Bags,Accessories
76,The Sass Bar,Gifts,Accessories
77,KG Agrotech,Agricultural Innovations,Technology
78,Nuskha Kitchen,Homemade Food & Beveragess,Food & Beverages
79,PawsIndia,Dog Products,Others
80,Sunfox Technologies,Portable ECG Device,Technology
81,Alpino,Roasted Peanut Products,Food & Beverages
82,Isak Fragrances,Perfumes,Accessories
83,Julaa Automation,Automatic Cradle,Accessories
84,Rare Planet,Handicrafts,Accessories
85,Theka Coffee,Coffee Products,Food & Beverages
86,Watt Technovations,Ventilated PPE Kits,Health
87,Aliste Technologies,Automation Solutions,Technology
88,Insurance Samadhan,Insurance Solutions,Others
89,Humpy A2,Organic Milk Products,Food & Beverages
90,Kunafa World,Kunafa,Food & Beverages
91,Gold Safe Solutions Ind.,Anti-Suicidal Fan Rod,Others
92,Wakao Food & Beveragess,Jackfruit Products,Food & Beverages
93,PDD Falcon,Stainless Steel Items,Accessories
94,PlayBox TV,Streaming Platform,Technology
95,Sippline Drinking Shields,Portable Glass Attachment,Others
96,Kabaddi Adda,All-Kabaddi App,Technology
97,Shades of Spring,Flowers,Luxury
98,Scholify,Scholarship Platform,Others
99,Scrapshala,Handmade Reusable Scrap Materials,Accessories
100,Sabjikothi,Vegetables Storage,Technology
101,AyuRythm,Ayurvedic Wellness App,Technology
102,Astrix,Smart Locks,Technology
103,Thea and Sid,Proposal Solutions,Others
104,Experential Etc,Technology layered Advertisement Services,Technology
105,GrowFitter,Rewards App,Technology
106,Med Tech,Portable opthalmic devices,Technology
107,Colour Me Mad,Insoles,Clothing
108,Mavi's,Vegan Fermented Food & Beverages,Food & Beverages
109,Tweek Labs,Sportswear,Clothing
